state,x,y
Alabama,120,-79
Alaska,-204,-170
Arizona,-210,-40
Arkansas,40,-53
California,-317,13
Colorado,-105,20
Connecticut,297,87
Delaware,275,37
Florida,210,-145
Georgia,170,-80
Hawaii,-317,-143
Idaho,-221,122
Illinois,87,37
Indiana,120,39
Iowa,38,65
Kansas,-25,5
Kentucky,140,-9
Louisiana,51,-126
Maine,310,164
Maryland,275,23
Massachusetts,303,105
Michigan,132,96
Minnesota,10,140
Mississippi,80,-96
Missouri,37,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-53
New York,236,104
North Carolina,220,-25
North Dakota,-63,158
Ohio,167,47
Oklahoma,-20,-45
Oregon,-278,138
Pennsylvania,208,61
Rhode Island,309,92
South Carolina,204,-60
South Dakota,-60,96
Tennessee,112,-40
Texas,-38,-106
Utah,-189,34
Vermont,270,137
Virginia,225,7
Washington,-284,183
West Virginia,190,20
Wisconsin,56,113
Wyoming,-147,90
